Id,SalePrice
1461,128846.92
1462,164219.75
1463,179067.53
1464,189076.66
1465,183102.64
1466,179748.39
1467,176579.14
1468,167741.8
1469,169082.77
1470,124465.66
1471,203293.88
1472,95593.86
1473,94785.766
1474,152986.67
1475,120093.09
1476,412535.06
1477,281289.94
1478,275162.38
1479,279383.25
1480,414155.2
1481,351550.97
1482,208779.11
1483,167545.05
1484,166868.5
1485,178177.61
1486,196280.03
1487,367992.78
1488,232241.05
1489,218438.62
1490,214213.48
1491,186596.36
1492,89397.555
1493,203593.64
1494,294878.72
1495,265942.8
1496,238727.98
1497,177872.03
1498,162122.94
1499,169790.38
1500,152882.75
1501,171187.94
1502,157950.14
1503,290789.38
1504,229924.08
1505,222461.12
1506,174429.34
1507,239874.4
1508,197521.92
1509,161789.62
1510,148425.73
1511,140845.14
1512,172383.69
1513,152157.16
1514,180084.58
1515,186341.17
1516,173922.69
1517,149968.86
1518,131457.05
1519,230535.03
1520,138436.12
1521,139458.86
1522,169096.23
1523,112310.63
1524,125384.24
1525,121576.62
1526,122645.836
1527,113301.61
1528,127819.4
1529,151153.08
1530,160805.62
1531,86151.12
1532,89095.45
1533,143242.95
1534,124532.21
1535,161891.77
1536,106677.8
1537,83187.07
1538,201518.36
1539,202926.9
1540,96949.01
1541,136574.77
1542,134030.89
1543,212338.58
1544,72344.73
1545,115843.734
1546,126716.16
1547,123174.266
1548,141425.52
1549,128367.63
1550,140167.19
1551,101060.234
1552,136449.25
1553,188597.42
1554,112413.12
1555,160934.14
1556,85360.42
1557,102999.625
1558,97311.914
1559,71313.445
1560,133567.98
1561,131952.88
1562,127030.83
1563,121366.15
1564,162821.3
1565,142453.33
1566,209940.64
1567,81625.53
1568,223618.3
1569,139673.88
1570,132484.98
1571,115538.35
1572,153000.73
1573,275544.72
1574,120884.36
1575,203083.81
1576,216841.39
1577,203536.83
1578,155240.5
1579,137714.98
1580,185002.31
1581,159608.89
1582,126005.73
1583,336040.62
1584,235699.53
1585,137059.88
1586,67373.69
1587,98382.734
1588,153681.2
1589,95793.95
1590,124117.016
1591,91412.484
1592,100497.12
1593,127652.9
1594,135890.88
1595,113761.41
1596,223754.34
1597,186355.1
1598,209117.19
1599,170201.92
1600,168344.05
1601,71630.8
1602,112544.69
1603,82693.25
1604,265848.97
1605,239952.64
1606,168502.38
1607,180213.6
1608,227006.83
1609,198826.75
1610,140914.17
1611,133338.25
1612,165811.05
1613,162057.95
1614,121553.46
1615,93158.67
1616,70797.586
1617,89320.66
1618,123937.59
1619,142407.95
1620,167400.45
1621,127526.37
1622,140925.48
1623,286532.97
1624,197524.8
1625,133250.86
1626,164281.33
1627,187244.0
1628,278363.97
1629,181166.97
1630,365889.8
1631,217065.11
1632,247990.75
1633,178879.5
1634,187299.34
1635,183122.08
1636,155882.62
1637,193078.11
1638,202933.42
1639,175341.86
1640,243889.38
1641,179990.05
1642,223187.06
1643,226152.39
1644,225380.45
1645,187723.66
1646,164503.62
1647,157839.61
1648,139230.55
1649,137742.95
1650,117778.19
1651,127688.91
1652,96700.44
1653,102046.45
1654,156476.61
